Time Interval,Left Hand X,Left Hand Y,Left Hand Z,Right Hand X,Right Hand Y,Right Hand Z,Left Wrist X,Left Wrist Y,Left Wrist Z,Right Wrist X,Right Wrist Y,Right Wrist Z,Left Elbow X,Left Elbow Y,Left Elbow Z,Right Elbow X,Right Elbow Y,Right Elbow Z,Left Shoulder X,Left Shoulder Y,Left Shoulder Z,Right Shoulder X,Right Shoulder Y,Right Shoulder Z,Center Shoulder X,Center Shoulder Y,Center Shoulder Z,Head X,Head Y,Head Z
332543379,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.13,0.14,1.51,0.14,0.34,1.49,
332543411,-0.07,-0.47,1.34,0.32,-0.47,1.37,-0.09,-0.41,1.37,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.22,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.13,0.14,1.52,0.14,0.34,1.49,
332543443,-0.04,-0.52,1.31,0.32,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.23,1.49,-0.06,0.01,1.49,0.31,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.49,
332543479,-0.04,-0.52,1.31,0.32,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.49,
332543511,-0.04,-0.52,1.31,0.31,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543543,-0.07,-0.47,1.35,0.31,-0.47,1.37,-0.09,-0.41,1.38,0.34,-0.41,1.39,-0.16,-0.21,1.48,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543580,-0.04,-0.52,1.31,0.32,-0.47,1.37,-0.07,-0.44,1.35,0.34,-0.41,1.40,-0.16,-0.21,1.48,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543611,-0.09,-0.46,1.37,0.32,-0.47,1.37,-0.11,-0.40,1.39,0.34,-0.41,1.40,-0.16,-0.21,1.48,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543643,-0.08,-0.46,1.37,0.32,-0.47,1.37,-0.10,-0.39,1.39,0.34,-0.41,1.40,-0.16,-0.21,1.48,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
332543679,-0.09,-0.46,1.37,0.32,-0.47,1.37,-0.10,-0.40,1.40,0.34,-0.41,1.40,-0.16,-0.21,1.48,0.40,-0.23,1.49,-0.06,0.01,1.49,0.32,0.01,1.51,0.12,0.14,1.52,0.14,0.34,1.50,
